,080060-001-ANA01,080180-005-ANA001,080180-005-ANA002,081252-001-ANA02,171501-001-ANA001,171501-001-ANA002,171637-001-ANA01,171674-006-ANA004,171707-001-ANA010,171714-001-ANA01,171812-001-ANA001,171910-001-ANA001,251116-004-ANA01,251116-005-ANA01,251462-001-ANA02,430496-001-ANA003,430496-001-ANA006,430496-001-ANA007,430496-001-ANA018,430496-002-ANA009,430496-003-ANA01,431270-001-ANA01,431482-004-ANA01,431652-001-ANA001,CALC000001,CALC000007,CALC000008,CALC000085,CALC000088,CALC000719,CALC000736,CALC001096,CALC001097,CALC001100,CALC001101,CALC001103,CALC001110,CALC001130,CALC001139,CALC001144,CALC001145,CALC001175,CALC001176,CALC001201,CALC001204,CALC001206,CALC001209,CALC001210,CALC001211,CALC001212,CALC001213,CALC001218,CALC001219,CALC001222,CALC001228,CALC001230,CALC001237,CALC001241,CALC001244,CALC001249,CALC001266,CALC001270,CALC001274,CALC001304,CALC001363,CALC001367,CALC001389,CALC001440,CALC001442,CALC001446,CALC001510,CALC001514,CALC001532,CALC001538,CALC001543,CALC001550,CALC001553,CALC001554,CALC001590,CALC001598,CALC001623,CALC001624,CALC001626,CALC001627,CALC001630,CALC001632,CALC001635,CALC001643,CALC001658,CALC001660,080180-005-ANA005,080478-006-ANA001,080478-006-ANA003,080538-005-ANA001,080543-002-ANA001,080826-002-ANA001,080885-001-ANA001,080996-007-ANA010,081141-002-ANA001,081167-001-ANA002,081167-001-ANA006,081167-001-ANA001,081363-002-ANA001,081379-001-ANA01,081445-001-ANA002,081445-001-ANA003,081653-001-ANA01,081751-008-ANA01,081918-009-ANA001,082021-001-ANA002,082172-002-ANA010,082362-001-ANA001,082401-002-ANA001,082457-001-ANA001,082634-001-ANA013,082687-002-ANA01,082747-007-ANA001,082858-003-ANA01,082994-002-ANA01,170059-001-ANA001,170221-002-ANA001,170558-002-ANA019,170561-001-ANA01,170600-001-ANA008,170600-001-ANA024,170656-005-ANA001,170792-002-ANA001,171024-001-ANA01,171143-002-ANA001,171328-001-ANA001,171352-003-ANA001,CALC001682,CALC001369,CALC001665,171903-002-ANA01,172001-001-ANA01,080581-003-ANA01,CALC001670,CALC001261,080522-004-ANA01,CALC001223,CALC001126,CALC001669,CALC001661,CALC000737,430862-001-ANA001,CALC001368,CALC001441,CALC001573,171557-002-ANA007,080996-007-ANA006,171674-006-ANA007,CALC001770,CALC001256,081580-002-ANA007,CALC001622,082994-001-ANA01,170084-005-ANA001,CALC001512,CALC000181,CALC001641,CALC001757,081831-003-ANA01,CALC001179,170792-003-ANA001,CALC001185,CALC001186,CALC001214,081081-001-ANA002,CALC001836,CALC001664,CALC000166,081252-004-ANA001,080522-006-ANA001,081580-004-ANA002,170792-004-ANA006,CALC001229
2025-04-08 18:00:00,0.0,12.7242,,,42.3568,15.985,10.8088,38.474,6995.268,131.275,1.267,5.6676,30.262,46.5266,20.2714,29.0224,0.0054,5.651,38.8288,30.1624,25.467,9.589,,9.7798,178.3974,0.013,,,0.2424,0.7298,11.0998,0.4554,1.28,0.6544,0.5076,3.4462,10.4,14.6406,0.8912,18.9482,,0.7742,0.3998,5.1912,0.078,0.013,4.027,0.7304,0.6328,0.205,0.555,4.2898,4.8718,0.0,12.2226,14.891,1.0688,1.6388,19.269,2.1878,0.017,,,15.5822,18.2868,0.2746,0.2424,0.047,0.0406,18.956,0.3438,0.7516,1.8554,0.1874,2.8116,0.7014,0.144,0.5306,0.054,0.2486,0.5466,0.4484,48.5636,0.152,180.5664,3.309,0.0612,66.191,0.01,0.332,151.3728,8.3148,0.0454,49.6158,56.937,37.8856,12.7516,126.0664,30.7722,122.39,2.0722,12.187,20.836,18.014,68.0026,2.1008,26.1536,24.8432,20.9854,17.5846,42.0848,4.1582,29.459,21.6544,37.6578,16.2476,,23.032,14.0756,22.083,12.6176,6.4926,33.4366,,9.045,46.372,75.2256,36.7216,14.8796,17.7566,102.0738,0.0614,80.4524,0.018,24.6774,3.596,16.3222,0.2656,18.5768,,2.7134,5.5854,0.126,0.496,0.7314,15.6924,0.88,0.1448,16.1266,-6.25,2198.22,3910.998,109.6272,0.7746,,0.1386,12.4396,18.4524,0.3632,0.388,38.16,16.308,67.3172,0.387,40.5174,91.1972,7.3414,0.8282,20.953,1.7992,0.8392,2.9412,-4.2222,68.1108,4.2932,12.2534,545.9258
2025-04-08 12:00:00,0.8048,-0.016,,,41.5078,18.0258,10.7964,38.7884,6866.124,131.4898,1.1382,6.216,30.2384,45.7052,20.4138,28.2306,0.0066,5.3792,38.7408,30.2718,25.5332,9.652,,9.8194,178.0798,0.0114,,,0.2418,0.7292,11.166,0.4486,1.3052,0.6586,0.5138,3.4844,10.4604,14.3604,0.9056,18.0696,,0.6944,0.4506,5.4676,0.077,0.014,4.0566,0.7322,0.6474,0.2196,0.5712,4.5372,4.7916,0.0,11.8776,15.8546,1.0864,1.5182,20.214,2.0366,0.015,,,15.5684,17.7126,0.2764,0.2418,0.047,0.041,17.6314,0.349,0.7508,1.8512,0.1892,2.8144,0.7076,0.144,0.534,0.052,0.2452,0.5548,0.453,48.5788,0.1558,182.1238,3.207,0.0608,65.4876,0.01,0.3212,153.6364,7.8108,0.0392,51.3568,54.906,38.032,13.242,125.6596,30.4124,121.746,-5.519,12.3586,21.2118,18.085,67.9722,2.1,26.393,24.8354,21.2344,17.6102,42.5734,3.8158,28.4474,21.4372,36.9268,16.3268,,23.19,14.2098,22.294,12.5344,7.0308,33.2028,,9.03,46.6156,76.3512,36.8872,14.9976,17.6416,101.5412,0.062,80.4568,0.02,24.9386,3.909,16.7962,0.2792,19.016,,2.488,5.6942,0.1266,0.506,0.7254,15.4994,0.8754,0.1258,14.563,-6.25,2117.862,3975.634,109.7978,0.7754,,0.1416,12.525,19.1796,0.387,0.393,38.334,15.7768,66.2504,0.3886,40.5422,91.0468,7.2112,0.819,20.7808,1.7706,0.8534,2.9366,-4.2412,66.1512,4.299,20.6012,566.2172
2025-04-08 06:00:00,0.0,-0.0146,,,41.5762,24.2568,10.8508,38.4506,6906.858,131.8058,1.1542,6.3912,30.766,45.724,21.0198,28.3274,0.0072,5.4626,38.7778,30.4692,25.539,9.7112,,10.0856,197.2904,0.0116,,,0.246,0.729,11.1548,0.464,1.276,0.6994,0.5446,3.5288,11.0436,14.4826,0.907,18.529,,0.7004,0.5784,5.1882,0.0778,0.015,4.047,0.7292,0.6868,0.2178,0.5532,4.3002,4.862,0.0,12.0874,16.3718,1.1338,1.4406,19.1008,2.1964,0.014,,,15.6504,18.2458,0.2862,0.246,0.047,0.041,17.9954,0.361,0.7604,1.9428,0.191,2.828,0.7352,0.144,0.5458,0.052,0.2476,0.5666,0.449,48.6468,0.1666,182.9204,3.2104,0.061,65.867,0.01,0.3268,154.7436,7.4566,0.0378,49.3344,55.4926,37.9836,13.1972,126.1418,32.1348,122.0882,1.1766,12.3792,20.7726,18.3602,68.1774,2.094,26.969,24.9896,21.9076,17.5704,43.364,3.6068,29.5156,21.6268,37.605,16.2698,,23.525,14.5694,22.0472,12.5718,6.4876,33.3182,,8.9488,46.8994,75.2736,36.745,15.5424,17.8992,101.3942,0.0618,81.867,0.02,25.3744,3.909,15.0994,0.2322,19.7274,,2.5212,5.3112,0.126,0.527,0.7312,15.8396,0.8902,0.0908,11.4332,-6.238,2016.558,3639.866,110.211,0.7782,,0.1492,12.7588,18.2074,0.3556,0.3952,38.4016,15.7804,66.2742,0.4172,40.996,91.0124,7.185,0.8398,21.1348,1.9208,0.8758,2.9494,-4.219,66.4256,4.356,4.0,566.836
2025-04-08 00:00:00,0.5338,14.0996,,,41.3144,24.418,10.91,38.1894,4267.394,132.3272,1.7528,6.4014,29.6818,43.6564,21.0394,28.7934,0.006,4.431,38.645,30.5792,25.7492,9.9944,,10.092,173.1478,0.0174,,,0.2568,0.729,11.2916,0.4568,1.4176,0.7436,0.5126,3.533,11.7762,14.5104,0.823,16.0128,,0.6768,0.5814,5.4012,0.079,0.015,4.1932,0.7724,0.7244,0.2334,0.5746,4.5708,4.3096,0.0,13.1794,15.5164,1.108,1.6684,19.5546,2.201,0.017,,,15.7434,18.2628,0.2866,0.257,0.046,0.0428,19.3564,0.3502,0.784,1.7584,0.1998,2.945,0.736,0.1458,0.5618,0.053,0.2514,0.5868,0.4812,49.2178,0.1748,470.6156,3.2054,0.3004,77.3872,0.01,0.5652,152.7908,8.4334,0.0554,50.1082,57.5086,38.6824,13.583,127.299,30.499,120.1566,6.2428,11.3378,21.2952,18.7156,68.4142,2.0846,26.4654,25.3528,21.5398,18.1582,43.3422,4.2368,29.5472,20.1082,37.6272,16.6016,,22.7,14.85,23.2528,12.6588,6.9048,37.6022,,9.4658,46.9262,76.504,37.8354,14.974,17.7798,102.818,0.0496,84.1856,0.023,25.3744,4.229,16.365,0.2664,19.7076,,2.7676,5.5502,0.1286,0.4792,0.7322,15.7938,0.8908,0.1482,16.4368,-6.25,2380.646,3915.794,110.583,0.8056,,0.1516,12.8316,19.2744,0.3902,0.4086,38.8466,14.2376,62.5526,0.4032,40.7794,91.467,7.5764,0.832,21.0226,1.7936,0.878,2.934,-4.2066,68.562,4.8588,8.4186,551.5848
2025-04-07 18:00:00,0.5614,-0.016,,,43.2832,28.0254,11.0506,37.9702,4278.912,132.5644,1.3878,6.5904,29.6504,42.5156,21.0584,28.6568,0.0058,4.4762,38.8138,30.5846,25.8984,10.0258,,10.237,174.436,0.0138,,,0.251,0.7284,11.2482,0.476,1.5406,0.7248,0.5198,3.491,11.4634,14.3794,0.891,17.3566,,0.8688,0.6454,5.535,0.081,0.015,4.2716,0.7496,0.721,0.2372,0.602,4.7574,5.0792,0.0,12.923,15.8036,1.1114,1.7234,20.1968,2.1576,0.017,,,15.7634,19.714,0.2922,0.2512,0.047,0.0444,19.6976,0.3616,0.7972,1.7532,0.2008,2.9474,0.7368,0.147,0.566,0.053,0.2558,0.5962,0.4656,49.2292,0.1734,546.856,3.1162,0.2118,76.8082,0.01,0.6028,153.4996,8.6526,0.046,51.328,58.0046,39.0518,13.6796,127.0026,31.2798,121.1956,2.1128,12.184,21.9326,18.815,68.3936,2.1132,27.0056,25.5588,21.5916,17.8492,44.7026,4.1912,29.2592,22.203,39.505,16.8292,,22.842,14.8066,24.3688,12.7952,7.149,38.1692,,9.3688,46.6586,77.3236,37.322,15.1034,18.119,102.8354,0.0616,82.9208,0.025,25.5166,4.5418,16.0712,0.2574,20.9322,,2.796,5.5204,0.1308,0.4864,0.732,15.9528,0.9026,0.1562,17.0958,-6.25,2299.238,3916.228,110.5518,0.8278,,0.1544,12.9138,19.5758,0.4002,0.4088,38.8432,15.0222,64.4966,0.391,40.5794,91.1392,7.2912,0.8552,21.3584,1.8568,0.885,2.9302,-4.2324,68.8008,5.2702,14.8014,565.0836
2025-04-07 12:00:00,0.7412,13.9856,,,42.9376,28.42,11.1202,37.4372,6657.042,132.713,1.0756,6.7938,29.8082,41.0868,21.4474,28.2238,0.0054,4.4816,38.7392,30.5748,25.9814,9.9784,,10.4056,0.0,0.011,,,0.2534,0.729,11.2272,0.4846,1.6118,0.7424,0.5332,3.5668,11.7524,14.0442,0.9134,17.2136,,0.832,0.6522,5.4142,0.083,0.016,4.2964,0.7902,0.726,0.2532,0.5864,4.669,5.0938,0.0,12.1416,16.5494,1.1202,1.8178,21.1642,2.187,0.015,,,15.781,19.7952,0.2988,0.2534,0.047,0.045,19.883,0.3728,0.8006,1.7792,0.1994,2.9468,0.7548,0.144,0.583,0.052,0.259,0.602,0.4544,49.2266,0.173,455.4674,2.826,0.4082,64.9878,0.01,0.3312,155.148,9.0234,0.038,53.0988,58.3046,39.1658,14.1114,125.8706,31.3028,121.0872,-3.8556,12.4552,21.5696,19.1802,68.4646,2.1002,27.5214,25.6102,21.7174,18.3976,45.7698,3.807,29.4532,22.2404,39.6066,16.9116,,23.016,14.779,25.0142,12.9162,6.9296,33.4192,,9.3746,47.1372,76.9502,36.9426,15.34,18.2906,102.888,0.0614,82.7668,0.028,26.0332,4.8474,17.6588,0.3046,21.9014,,2.565,5.4198,0.1312,0.4952,0.7284,15.8614,0.8984,0.145,16.1686,-6.2482,2244.586,3886.638,110.5998,0.8392,,0.1562,12.9676,18.6508,0.3698,0.4152,39.0576,15.4012,65.421,0.4042,40.7976,90.8162,7.0266,0.8698,21.5678,1.8692,0.9104,3.5156,-4.242,66.79,5.4778,16.084,541.9686
2025-04-07 06:00:00,0.9126,-0.006,,,42.677,23.2092,11.1596,40.1832,6862.674,132.9404,1.5844,7.2568,30.0058,40.9858,21.5866,27.1976,0.0052,5.6706,38.991,30.7324,25.9648,9.9392,,10.6816,0.0,0.016,,,0.2556,0.728,11.3936,0.5078,1.5492,0.7366,0.5564,3.6082,11.6576,14.3458,0.8532,17.1844,,0.8062,0.5598,5.135,0.0846,0.0204,4.3518,0.853,0.7532,0.2466,0.5956,5.0964,5.0978,0.0,12.0264,17.4558,1.1606,1.7164,21.453,2.1838,0.015,,,15.901,19.7066,0.3096,0.2558,0.048,0.045,18.7226,0.363,0.818,1.8114,0.1982,2.9472,0.7608,0.1476,0.581,0.049,0.2604,0.6108,0.4758,49.228,0.1816,538.5856,2.8954,0.0524,65.4338,0.01,0.34,157.151,8.625,0.0476,53.5936,56.6034,39.4172,13.9204,126.0632,32.3316,121.0642,0.8466,11.718,21.784,19.1422,68.7522,2.096,27.052,25.871,22.2584,19.2216,45.0216,3.6758,29.433,22.2504,39.496,16.9874,,23.3438,15.0792,24.4456,13.0288,6.382,33.6058,,9.367,47.3968,78.7342,37.6616,15.7548,18.7576,103.0312,0.062,85.4332,0.03,26.6402,5.153,15.45,0.2414,21.2194,,2.5572,5.399,0.132,0.5156,0.7334,16.0356,0.9066,0.105,12.7288,-6.25,2005.94,3476.954,110.8714,0.8344,,0.1668,13.2646,19.1922,0.3872,0.4252,39.3668,15.445,65.5276,0.4084,40.8618,91.0882,7.2468,0.8796,21.7076,1.9498,0.9498,2.9256,-4.2318,66.7278,5.3894,10.494,612.4608
2025-04-07 00:00:00,0.3014,-0.016,,,42.164,16.9938,11.3622,39.8434,6767.568,133.4872,1.6002,7.1602,30.14,41.302,22.1212,28.3252,0.0056,5.7316,39.21,30.8438,26.2798,10.2104,,10.655,0.0,0.016,,,0.2584,0.7282,12.0148,0.5202,1.7428,0.7622,0.5356,3.6112,12.0892,14.23,0.7402,16.2604,,0.755,0.425,5.4184,0.0906,0.0186,4.4996,0.8606,0.8094,0.2586,0.595,4.7294,4.3338,0.0,13.4422,16.5772,1.1524,1.8012,21.3824,2.175,0.017,,,16.343,19.8516,0.3084,0.2586,0.049,0.0482,20.111,0.3688,0.8586,1.8346,0.2072,2.9288,0.7858,0.1602,0.595,0.052,0.267,0.634,0.5246,49.1428,0.1914,533.1342,2.9332,0.843,65.3372,0.01,0.3404,155.195,8.9588,0.0726,53.471,58.6838,40.0884,14.2912,127.7596,31.6334,120.3496,5.532,10.2634,21.7738,19.4314,69.7452,2.104,27.3448,26.4392,22.1552,19.3184,45.758,4.1802,29.3742,20.1776,39.677,17.2906,,23.537,15.356,26.1176,13.3912,6.9382,33.6198,,9.6388,47.4158,77.206,39.2734,15.3874,19.0064,103.1376,0.0606,86.6762,0.033,26.6498,5.466,16.5548,0.2718,21.8822,,2.7848,5.4134,0.1342,0.5282,0.7174,16.181,0.9142,0.1626,17.6346,-6.25,2375.318,3542.42,111.377,0.864,,0.1714,13.3942,20.3928,0.4276,0.4378,39.762,14.6274,63.5244,0.4044,40.7962,91.8256,7.8884,0.8728,21.6134,1.8992,0.9402,2.9336,-4.2214,68.7088,5.926,2.022,611.6296
2025-04-06 18:00:00,0.0,21.1432,,,44.298,15.532,11.5278,39.2298,6703.546,133.6642,1.431,7.355,30.0612,41.0078,21.9918,28.1764,0.0052,5.3878,39.1796,30.8364,26.3462,10.128,,10.8092,0.0,0.0142,,,0.2564,0.7278,11.9406,0.5252,1.8758,0.7714,0.5434,3.639,12.2422,13.9128,0.796,16.1034,,0.983,0.3884,5.5556,0.0912,0.022,4.5568,0.8642,0.845,0.2764,0.657,4.894,5.179,0.0,13.1378,15.7566,1.198,1.7652,21.767,2.2278,0.017,,,16.3884,20.9028,0.3144,0.2564,0.049,0.049,20.3308,0.3698,0.875,1.8206,0.2044,2.9366,0.78,0.1468,0.6068,0.0514,0.2736,0.6414,0.5012,49.1786,0.1906,568.8894,2.9288,0.8346,64.1402,0.01,0.3376,153.3084,8.8204,0.0588,54.138,59.0416,40.3494,14.8732,127.1904,33.332,120.2334,0.2108,10.9972,23.179,19.6636,69.7856,2.132,27.3966,26.661,22.7244,19.3644,47.6016,4.1856,29.724,22.4588,40.9606,17.253,,23.699,15.34,27.3258,13.411,7.1852,33.555,,9.5588,47.5888,77.8912,38.507,15.5224,19.088,103.0106,0.062,88.4824,0.036,26.337,5.7786,17.5974,0.303,23.6412,,2.8204,5.3134,0.1338,0.5386,0.7162,16.3242,0.9306,0.1706,18.3088,-6.2536,2402.324,3531.88,111.6876,0.8488,,0.1768,13.5302,20.602,0.435,0.4384,39.784,14.352,62.8374,0.4206,41.0542,91.9042,7.9566,0.886,21.8008,2.061,0.9284,2.9234,-4.2484,69.0008,5.651,12.8046,594.812
2025-04-06 12:00:00,0.0,-0.016,,,44.1044,22.708,11.6144,39.2074,6656.68,133.8314,1.1678,7.5938,30.1716,39.8574,22.387,27.3406,0.005,5.5294,39.3216,30.6522,26.413,10.325,,10.9156,0.0,0.0118,,,0.257,0.728,11.9612,0.545,1.8288,0.796,0.5526,3.7172,12.6498,13.5928,0.8258,16.4974,,0.9598,0.5504,5.1638,0.0958,0.0254,4.5926,0.8804,0.8834,0.2952,0.6506,4.8582,5.5738,0.0,11.433,17.3684,1.2096,1.7304,21.662,2.196,0.015,,,16.4178,19.3362,0.3188,0.2572,0.05,0.0494,20.104,0.377,0.9432,1.84,0.211,2.9302,0.7978,0.1464,0.6124,0.049,0.2746,0.6484,0.5056,49.1486,0.1942,458.3064,2.6652,0.0682,62.7928,0.01,0.3332,156.9424,8.6808,0.0502,53.938,58.6736,40.5116,15.5056,124.421,32.3396,120.5366,-24.267,11.3714,23.027,19.7868,69.8824,2.1184,27.7272,27.4904,22.8696,19.571,45.711,3.6692,29.5116,23.4842,39.0306,17.3982,,24.023,15.4508,26.8984,13.7052,6.4384,33.465,,9.4476,48.0738,77.7426,38.6412,15.6878,19.4146,102.9764,0.062,89.4284,0.0408,27.1096,6.255,18.5932,0.3348,21.84,,2.4756,5.2548,0.1348,0.5592,0.7088,16.3522,0.9326,0.151,16.6802,-6.25,2399.162,3476.452,112.0156,0.8948,,0.1796,13.6156,20.1732,0.4202,0.4518,40.1844,14.9158,64.2358,0.4406,41.3558,91.2098,7.3526,0.893,21.9008,1.9672,0.9644,2.9278,-4.27,66.039,6.4974,13.9834,614.5678
